open,currentAccountsPayable,researchAndDevelopment,volume,propertyPlantEquipment,otherNonCurrentAssets,nonInterestIncome,dividendPayout,depreciationDepletionAndAmortization,ebitda,comprehensiveIncomeNetOfTax,depreciationAndAmortization,longTermDebtNoncurrent,totalRevenue,otherNonOperatingIncome,company,date,close
559.0,96400000,107600000,10843172,746400000.0,495000000,920900000.0,150000000,29500000,317300000,292200000,4000000,5952000000.0,920900000.0,21900000,ISRG,9/28/2018,574.0
541.86,100700000,119900000,16700573,812000000.0,495000000,1046500000.0,150000000,32200000,336500000,295900000,4500000,5952000000.0,1046500000.0,26800000,ISRG,12/31/2018,478.92
551.79,130600000,144000000,11752625,935400000.0,495000000,973700000.0,150000000,40400000,262200000,319100000,10000000,5952000000.0,973700000.0,27500000,ISRG,3/29/2019,570.58
462.84,129600000,120800000,15107666,1032400000.0,495000000,1098900000.0,150000000,10600000,369600000,335100000,10600000,5952000000.0,1124000000.0,32800000,ISRG,6/28/2019,524.55
505.23,132400000,135900000,12878023,1136800000.0,495000000,1128200000.0,150000000,10700000,376400000,398500000,10700000,5952000000.0,1155600000.0,33300000,ISRG,9/30/2019,539.93
592.0,123500000,156600000,10514840,1272900000.0,495000000,1277700000.0,150000000,61100000,409400000,352300000,11800000,5952000000.0,1277700000.0,34100000,ISRG,12/31/2019,591.15
535.95,133400000,147100000,30913353,1369200000.0,495000000,1090900000.0,150000000,63600000,295300000,310000000,12300000,5952000000.0,1130000000.0,25100000,ISRG,3/31/2020,495.21
574.8,108900000,143200000,14381371,1450300000.0,495000000,853800000.0,150000000,12400000,93000000,81400000,12400000,5952000000.0,902900000.0,26600000,ISRG,6/30/2020,569.83
732.45,116000000,155000000,15233297,1509700000.0,495000000,1083600000.0,150000000,12600000,283000000,307800000,12600000,5952000000.0,1129300000.0,84800000,ISRG,9/30/2020,709.54
733.3,81600000,149800000,10966052,1577300000.0,495000000,1329100000.0,150000000,83100000,428300000,373900000,12500000,5952000000.0,1329100000.0,20700000,ISRG,12/31/2020,818.1
749.04,103100000,159800000,12480869,1592900000.0,495000000,1285000000.0,150000000,59100000,423700000,412800000,6900000,5952000000.0,1344000000.0,32000000,ISRG,3/31/2021,738.94
852.77,117900000,162300000,9884129,1651200000.0,495000000,1469000000.0,150000000,7500000,518700000,516100000,7500000,5952000000.0,1536300000.0,15000000,ISRG,6/30/2021,919.64
1055.0,120000000,165500000,11371342,1737900000.0,495000000,1396900000.0,150000000,6300000,448900000,375500000,6300000,5952000000.0,1469400000.0,18500000,ISRG,9/30/2021,994.15
328.61,121200000,183400000,35717287,1876400000.0,495000000,1550700000.0,150000000,90800000,457000000,351100000,6600000,5952000000.0,1550700000.0,3800000,ISRG,12/31/2021,359.3
289.96,128100000,210500000,48070958,1968200000.0,495000000,1481400000.0,150000000,32100000,414200000,279100000,6100000,5952000000.0,1564600000.0,-5700000,ISRG,3/31/2022,301.68
227.74,149700000,207300000,44232575,2109300000.0,495000000,1493300000.0,150000000,6200000,403800000,274300000,6200000,5952000000.0,1586300000.0,9300000,ISRG,6/30/2022,200.71
203.85,164200000,217100000,38120629,2243700000.0,495000000,1526900000.0,150000000,7900000,406800000,280600000,7900000,5952000000.0,1624400000.0,3900000,ISRG,9/30/2022,187.44
270.39,147000000,244100000,39114688,2374200000.0,495000000,1670200000.0,150000000,339200000,380100000,350000000,7600000,5952000000.0,1773000000.0,22200000,ISRG,12/30/2022,265.35
228.47,164100000,244900000,36627084,2580200000.0,495000000,1701600000.0,150000000,9900000,392600000,409300000,5000000,5952000000.0,1813600000.0,34200000,ISRG,3/31/2023,255.47
308.0,199700000,244400000,30573578,2830800000.0,495000000,1739600000.0,150000000,5000000,468200000,449500000,5000000,5952000000.0,1862300000.0,36000000,ISRG,6/30/2023,341.94
317.55,196200000,249400000,29759058,3077000000.0,495000000,1730600000.0,150000000,5100000,470900000,439000000,5100000,5952000000.0,1857700000.0,36000000,ISRG,9/29/2023,292.29
310.59,188700000,260100000,30603272,3537600000.0,495000000,1943800000.0,150000000,379700000,455300000,650500000,5100000,5952000000.0,2082500000.0,36000000,ISRG,12/29/2023,337.36
383.48,194400000,284500000,32093821,3799600000.0,495000000,1871200000.0,150000000,-800000,474500000,548400000,5100000,5952000000.0,2019200000.0,36000000,ISRG,3/28/2024,399.09
53.59,194400000,284500000,61237200,3799600000.0,495000000,1871200000.0,146379000,143820000,474500000,548400000,5100000,5952000000.0,2019200000.0,36000000,ITW,6/30/2008,47.51
50.05,194400000,284500000,92395100,3799600000.0,495000000,1871200000.0,145423000,182013000,474500000,548400000,5100000,5952000000.0,2019200000.0,36000000,ITW,9/30/2008,44.45
33.22,194400000,284500000,97031600,3799600000.0,495000000,1871200000.0,158461000,134492000,474500000,548400000,5100000,5952000000.0,2019200000.0,36000000,ITW,12/31/2008,35.05
27.21,194400000,284500000,137823800,3799600000.0,495000000,1871200000.0,154726000,222106000,474500000,548400000,5100000,5952000000.0,2019200000.0,36000000,ITW,3/31/2009,30.85
